dataset,site,image,url,catami_substrate,partition,longitude,latitude
20191020_Broughton_Island,20191020_T008,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005547UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T008/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005547UTC.JPG,[4],train,152.4400086,-32.5862723
20191020_Broughton_Island,20191020_T008,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005557UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T008/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005557UTC.JPG,[4],train,152.4400532,-32.5862668
20191020_Broughton_Island,20191020_T008,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005603UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T008/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005603UTC.JPG,[4],train,152.4400784,-32.586264
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011531UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011531UTC.JPG,[4],train,152.4555066,-32.5935222
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011621UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011621UTC.JPG,[4],train,152.4555537,-32.5936094
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011647UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011647UTC.JPG,[4],train,152.4556103,-32.5936434
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011803UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011803UTC.JPG,[4],dropped,152.4558229,-32.5937785
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011819UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011819UTC.JPG,[4],dropped,152.4558803,-32.5938082
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011949UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_011949UTC.JPG,[4],dropped,152.4562174,-32.5939942
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012019UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012019UTC.JPG,[4],dropped,152.4562993,-32.5940423
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012027UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012027UTC.JPG,[4],dropped,152.4563196,-32.5940564
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012117UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012117UTC.JPG,[4],dropped,152.4564299,-32.5941438
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012001UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012001UTC.JPG,[4],dropped,152.4562545,-32.5940155
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012217UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012217UTC.JPG,[4],dropped,152.4565782,-32.5942758
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012131UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012131UTC.JPG,[4],dropped,152.4564557,-32.5941649
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012219UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012219UTC.JPG,[4],dropped,152.4565816,-32.5942804
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012231UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012231UTC.JPG,[4],test,152.4566118,-32.5943194
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012327UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012327UTC.JPG,[4],test,152.4567619,-32.5944887
20191020_Broughton_Island,20191020_T009,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012249UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T009/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T009_012249UTC.JPG,[4],test,152.4566571,-32.5943772
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023254UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023254UTC.JPG,[4],train,152.4758843,-32.5888238
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023338UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023338UTC.JPG,[4],train,152.4760233,-32.5889289
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023334UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023334UTC.JPG,[4],train,152.4760069,-32.5889175
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023306UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023306UTC.JPG,[4],train,152.4759287,-32.5888484
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023320UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023320UTC.JPG,[4],train,152.4759771,-32.588884
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023326UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023326UTC.JPG,[4],train,152.4759914,-32.5889002
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023308UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023308UTC.JPG,[4],train,152.4759375,-32.5888564
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023438UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023438UTC.JPG,[4],train,152.4761574,-32.5891243
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023538UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023538UTC.JPG,[4],train,152.4762285,-32.5893365
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023548UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023548UTC.JPG,[4],train,152.4762322,-32.5893772
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023610UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023610UTC.JPG,[4],train,152.4762626,-32.5894576
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023526UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023526UTC.JPG,[4],train,152.4762105,-32.5892902
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023528UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023528UTC.JPG,[4],train,152.476213,-32.5892958
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023556UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023556UTC.JPG,[2],train,152.4762436,-32.5894088
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023646UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023646UTC.JPG,[2],train,152.4763238,-32.5895723
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_022932UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_022932UTC.JPG,[4],train,152.4751229,-32.5884765
20191020_Broughton_Island,20191020_T011,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023058UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T011/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T011_023058UTC.JPG,[4],train,152.4754669,-32.5885848
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025530UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025530UTC.JPG,[4],train,152.4781577,-32.5863529
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025620UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025620UTC.JPG,[4],train,152.4779827,-32.5863726
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025516UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025516UTC.JPG,[4],train,152.4782161,-32.5863539
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025528UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025528UTC.JPG,[4],train,152.4781707,-32.5863526
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025524UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025524UTC.JPG,[4],train,152.4781826,-32.5863538
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025538UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025538UTC.JPG,[4],train,152.4781356,-32.5863542
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025540UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025540UTC.JPG,[4],train,152.4781277,-32.5863542
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025704UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025704UTC.JPG,[4],train,152.4778073,-32.5863865
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025706UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025706UTC.JPG,[4],train,152.4777947,-32.5863903
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025708UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025708UTC.JPG,[4],train,152.4777854,-32.5863901
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025618UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025618UTC.JPG,[4],train,152.4779887,-32.5863771
20191020_Broughton_Island,20191020_T012,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025626UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T012/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T012_025626UTC.JPG,[4],train,152.4779593,-32.5863737
20200812_Seal_Rocks,20200812_T017,NSW_DPIE_TDS_SEAL_ROCKS_20200813_T017_061233UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20200812_Seal_Rocks/20200812_T017/images/NSW_DPIE_TDS_SEAL_ROCKS_20200813_T017_061233UTC.JPG,[2],train,152.6205483,-32.454175
20200812_Seal_Rocks,20200812_T017,NSW_DPIE_TDS_SEAL_ROCKS_20200813_T017_061713UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20200812_Seal_Rocks/20200812_T017/images/NSW_DPIE_TDS_SEAL_ROCKS_20200813_T017_061713UTC.JPG,[2],train,152.6208903,-32.454259
Bay_of_Fundy_2019,BoF_002,20170413_BoF_002_4K_190114_001,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/Bay_of_Fundy_2019/BoF_002/20170413_BoF_002_4K_190114_001.tif,[3],train,-65.72035333,44.880005
Bay_of_Fundy_2019,BoF_002,20170413_BoF_002_4K_190140_002,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/Bay_of_Fundy_2019/BoF_002/20170413_BoF_002_4K_190140_002.tif,[3],train,-65.72034667,44.87996
Bay_of_Fundy_2019,BoF_002,20170413_BoF_002_4K_190200_003,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/Bay_of_Fundy_2019/BoF_002/20170413_BoF_002_4K_190200_003.tif,[3],train,-65.72035,44.879915
Bay_of_Fundy_2019,BoF_002,20170413_BoF_002_4K_190226_004,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/Bay_of_Fundy_2019/BoF_002/20170413_BoF_002_4K_190226_004.tif,[3],train,-65.72036667,44.87984333
Bay_of_Fundy_2019,BoF_002,20170413_BoF_002_4K_190251_005,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/Bay_of_Fundy_2019/BoF_002/20170413_BoF_002_4K_190251_005.tif,[3],train,-65.72041833,44.87978
Bay_of_Fundy_2019,BoF_002,20170413_BoF_002_4K_190309_006,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/Bay_of_Fundy_2019/BoF_002/20170413_BoF_002_4K_190309_006.tif,[4],train,-65.72046667,44.87972667
