dataset,site,image,url,substrate,partition,longitude,latitude
German_Bank_2010,EX01,EX01_262151545,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151545.JPG,[1],test,-66.66159513,43.12280297
German_Bank_2010,EX01,EX01_262151601,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151601.JPG,[1],test,-66.66141385,43.12272966
German_Bank_2010,EX01,EX01_262151617,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151617.JPG,[1],test,-66.6612469,43.12266273
German_Bank_2010,EX01,EX01_262151633,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151633.JPG,[1],test,-66.66108683,43.12259958
German_Bank_2010,EX01,EX01_262151649,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151649.JPG,[0],test,-66.66090259,43.12252811
German_Bank_2010,EX01,EX01_262151701,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151701.JPG,[0],test,-66.66077498,43.12247914
German_Bank_2010,EX01,EX01_262151705,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151705.JPG,[0],test,-66.66072462,43.12245992
German_Bank_2010,EX01,EX01_262151720,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151720.JPG,[0],test,-66.66054878,43.12239281
German_Bank_2010,EX01,EX01_262151735,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151735.JPG,[0],test,-66.66038175,43.12232985
German_Bank_2010,EX01,EX01_262151752,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151752.JPG,[0],test,-66.66018091,43.12225516
German_Bank_2010,EX01,EX01_262151759,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151759.JPG,[0],test,-66.66010471,43.12222733
German_Bank_2010,EX01,EX01_262151807,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151807.JPG,[0],test,-66.66000673,43.12219175
German_Bank_2010,EX01,EX01_262151823,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151823.JPG,[0],test,-66.65983256,43.12212913
German_Bank_2010,EX01,EX01_262151839,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151839.JPG,[0],test,-66.65963087,43.12205731
German_Bank_2010,EX01,EX01_262151855,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151855.JPG,[0],test,-66.65946868,43.12199968
German_Bank_2010,EX01,EX01_262151909,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151909.JPG,[0],test,-66.65929691,43.12193868
German_Bank_2010,EX01,EX01_262151918,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151918.JPG,[0],test,-66.65919399,43.12190256
German_Bank_2010,EX01,EX01_262151923,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151923.JPG,[0],test,-66.65913083,43.12188053
German_Bank_2010,EX01,EX01_262151934,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151934.JPG,[0],test,-66.65899054,43.12183211
German_Bank_2010,EX01,EX01_262151941,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151941.JPG,[0],test,-66.65891302,43.12180557
German_Bank_2010,EX01,EX01_262151957,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151957.JPG,[0],test,-66.65873529,43.12174543
German_Bank_2010,EX01,EX01_262152002,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152002.JPG,[0],test,-66.6586731,43.12172461
German_Bank_2010,EX01,EX01_262152013,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152013.JPG,[0],test,-66.65855005,43.12168356
German_Bank_2010,EX01,EX01_262152018,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152018.JPG,[0],dropped,-66.6584909,43.12166394
German_Bank_2010,EX01,EX01_262152029,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152029.JPG,[0],dropped,-66.6583618,43.12162106
German_Bank_2010,EX01,EX01_262152033,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152033.JPG,[0],dropped,-66.65831524,43.12160572
German_Bank_2010,EX01,EX01_262152039,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152039.JPG,[0],dropped,-66.6582293,43.12157727
German_Bank_2010,EX01,EX01_262152044,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152044.JPG,[0],dropped,-66.65817921,43.12156085
German_Bank_2010,EX01,EX01_262152100,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152100.JPG,[0],dropped,-66.65799508,43.12150071
German_Bank_2010,EX01,EX01_262152108,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152108.JPG,[0],train,-66.65790351,43.12147126
German_Bank_2010,EX01,EX01_262152112,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152112.JPG,[0],train,-66.65784637,43.121453
German_Bank_2010,EX01,EX01_262152116,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152116.JPG,[0],train,-66.65779832,43.12143765
German_Bank_2010,EX01,EX01_262152127,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152127.JPG,[0],train,-66.65768874,43.12140307
German_Bank_2010,EX01,EX01_262152131,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152131.JPG,[0],train,-66.65763929,43.12138771
German_Bank_2010,EX01,EX01_262152144,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152144.JPG,[0],train,-66.65748504,43.12133992
German_Bank_2010,EX01,EX01_262152151,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152151.JPG,[2],train,-66.65741482,43.1213184
German_Bank_2010,EX01,EX01_262152156,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152156.JPG,[2],train,-66.65735656,43.12130042
German_Bank_2010,EX01,EX01_262152201,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152201.JPG,[2],train,-66.65730087,43.12128339
German_Bank_2010,EX01,EX01_262152213,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152213.JPG,[1],train,-66.65716642,43.12124172
German_Bank_2010,EX01,EX01_262152218,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152218.JPG,[0],train,-66.65711433,43.12122554
German_Bank_2010,EX01,EX01_262152232,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152232.JPG,[2],train,-66.65694735,43.12117267
German_Bank_2010,EX01,EX01_262152246,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152246.JPG,[2],train,-66.65679105,43.12112281
German_Bank_2010,EX01,EX01_262152249,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152249.JPG,[2],train,-66.65674213,43.12110712
German_Bank_2010,EX01,EX01_262152303,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152303.JPG,[2],train,-66.6565892,43.12105807
German_Bank_2010,EX01,EX01_262152320,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152320.JPG,[0],train,-66.65641142,43.12100088
German_Bank_2010,EX01,EX01_262152336,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152336.JPG,[0],dropped,-66.65621134,43.12093592
German_Bank_2010,EX01,EX01_262152340,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152340.JPG,[0],dropped,-66.65618234,43.12092645
German_Bank_2010,EX01,EX01_262152351,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152351.JPG,[0],dropped,-66.65605645,43.12088564
German_Bank_2010,EX01,EX01_262152407,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152407.JPG,[0],dropped,-66.6558953,43.12083354
German_Bank_2010,EX01,EX01_262152423,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152423.JPG,[0],test,-66.65572262,43.12077744
German_Bank_2010,EX01,EX01_262152436,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152436.JPG,[0],test,-66.65558157,43.12073103
German_Bank_2010,EX01,EX01_262152450,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152450.JPG,[0],test,-66.65542907,43.1206798
German_Bank_2010,EX01,EX01_262152454,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152454.JPG,[0],test,-66.65538689,43.12066546
German_Bank_2010,EX01,EX01_262152503,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152503.JPG,[0],test,-66.65528738,43.12063154
German_Bank_2010,EX01,EX01_262152509,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152509.JPG,[0],test,-66.65521804,43.12060777
German_Bank_2010,EX01,EX01_262152525,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152525.JPG,[0],test,-66.6550438,43.12054801
German_Bank_2010,EX01,EX01_262152530,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152530.JPG,[0],test,-66.65499693,43.12053202
German_Bank_2010,EX01,EX01_262152539,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152539.JPG,[0],test,-66.65490742,43.12050166
German_Bank_2010,EX01,EX01_262152549,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152549.JPG,[2],test,-66.65479448,43.12046334
German_Bank_2010,EX01,EX01_262152556,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152556.JPG,[2],test,-66.65472191,43.12043878
German_Bank_2010,EX01,EX01_262152605,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152605.JPG,[2],test,-66.65461317,43.1204018
German_Bank_2010,EX01,EX01_262152612,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152612.JPG,[2],test,-66.65453269,43.12037418
German_Bank_2010,EX01,EX01_262152617,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152617.JPG,[2],test,-66.65447605,43.12035468
German_Bank_2010,EX01,EX01_262152628,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152628.JPG,[2],test,-66.65435576,43.12031284
German_Bank_2010,EX01,EX01_262152644,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152644.JPG,[2],test,-66.65418234,43.12025221
German_Bank_2010,EX01,EX01_262152659,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152659.JPG,[2],test,-66.65401761,43.1201951
German_Bank_2010,EX01,EX01_262152715,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152715.JPG,[2],test,-66.6538622,43.12014179
German_Bank_2010,EX01,EX01_262152730,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152730.JPG,[2],test,-66.65369547,43.12008506
German_Bank_2010,EX01,EX01_262152745,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152745.JPG,[2],test,-66.65354344,43.12003313
German_Bank_2010,EX01,EX01_262152756,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262152756.JPG,[2],test,-66.65341599,43.11998917
German_Bank_2010,HP01,HP01_256105708,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105708.JPG,[3],test,-66.7066545,43.59923643
German_Bank_2010,HP01,HP01_256105720,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105720.JPG,[3],test,-66.70661438,43.59927551
German_Bank_2010,HP01,HP01_256105736,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105736.JPG,[3],test,-66.7065494,43.59934011
German_Bank_2010,HP01,HP01_256105752,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105752.JPG,[3],test,-66.70649522,43.59939527
German_Bank_2010,HP01,HP01_256105808,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105808.JPG,[3],test,-66.70643328,43.59945942
German_Bank_2010,HP01,HP01_256105824,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105824.JPG,[3],test,-66.70637784,43.59951751
German_Bank_2010,HP01,HP01_256105912,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105912.JPG,[3],test,-66.7062653,43.59963665
German_Bank_2010,HP01,HP01_256105959,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256105959.JPG,[3],test,-66.70608979,43.59982134
German_Bank_2010,HP01,HP01_256110015,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110015.JPG,[3],test,-66.70602308,43.59989051
German_Bank_2010,HP01,HP01_256110031,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110031.JPG,[3],dropped,-66.70595908,43.59995602
German_Bank_2010,HP01,HP01_256110047,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110047.JPG,[3],dropped,-66.70581497,43.60010128
German_Bank_2010,HP01,HP01_256110103,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110103.JPG,[3],dropped,-66.70573839,43.60017744
German_Bank_2010,HP01,HP01_256110119,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110119.JPG,[3],dropped,-66.70566724,43.60024766
German_Bank_2010,HP01,HP01_256110134,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110134.JPG,[3],train,-66.70551577,43.60039529
German_Bank_2010,HP01,HP01_256110222,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110222.JPG,[3],train,-66.70536467,43.60053846
German_Bank_2010,HP01,HP01_256110310,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110310.JPG,[3],train,-66.70520885,43.60067995
German_Bank_2010,HP01,HP01_256110326,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110326.JPG,[3],train,-66.70504801,43.60082075
German_Bank_2010,HP01,HP01_256110341,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110341.JPG,[3],train,-66.70496894,43.60088833
German_Bank_2010,HP01,HP01_256110357,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110357.JPG,[3],train,-66.70489149,43.60095335
German_Bank_2010,HP01,HP01_256110413,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110413.JPG,[3],train,-66.70472819,43.60108595
German_Bank_2010,HP01,HP01_256110501,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110501.JPG,[3],train,-66.70455716,43.60121729
German_Bank_2010,HP01,HP01_256110532,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110532.JPG,[3],train,-66.70439317,43.60133682
German_Bank_2010,HP01,HP01_256110548,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110548.JPG,[3],train,-66.70430455,43.60139989
German_Bank_2010,HP01,HP01_256110604,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110604.JPG,[3],train,-66.70421975,43.60145948
German_Bank_2010,HP01,HP01_256110620,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110620.JPG,[3],train,-66.70413551,43.6015179
German_Bank_2010,HP01,HP01_256110636,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110636.JPG,[3],train,-66.70387235,43.60169462
German_Bank_2010,HP01,HP01_256110740,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110740.JPG,[3],train,-66.703698,43.60180612
German_Bank_2010,HP01,HP01_256110827,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110827.JPG,[3],train,-66.70352674,43.60191109
German_Bank_2010,HP01,HP01_256110844,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110844.JPG,[3],train,-66.7034349,43.60196633
German_Bank_2010,HP01,HP01_256110859,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110859.JPG,[3],train,-66.70333586,43.60202531
German_Bank_2010,HP01,HP01_256110915,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110915.JPG,[3],train,-66.70324774,43.60207737
German_Bank_2010,HP01,HP01_256110931,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110931.JPG,[3],train,-66.70315334,43.60213291
German_Bank_2010,HP01,HP01_256110946,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256110946.JPG,[3],train,-66.70305774,43.60218882
German_Bank_2010,HP01,HP01_256111002,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111002.JPG,[3],train,-66.70297376,43.6022378
German_Bank_2010,HP01,HP01_256111018,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111018.JPG,[3],train,-66.70287441,43.60229551
German_Bank_2010,HP01,HP01_256111034,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111034.JPG,[3],train,-66.70277233,43.60235478
German_Bank_2010,HP01,HP01_256111050,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111050.JPG,[3],train,-66.7026689,43.6024152
German_Bank_2010,HP01,HP01_256111106,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111106.JPG,[3],train,-66.70256632,43.60247574
German_Bank_2010,HP01,HP01_256111122,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111122.JPG,[3],train,-66.70235664,43.60260293
German_Bank_2010,HP01,HP01_256111138,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111138.JPG,[3],train,-66.70225179,43.60266852
German_Bank_2010,HP01,HP01_256111154,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111154.JPG,[3],train,-66.70214721,43.60273513
German_Bank_2010,HP01,HP01_256111209,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111209.JPG,[3],dropped,-66.70204472,43.6028012
German_Bank_2010,HP01,HP01_256111225,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111225.JPG,[3],dropped,-66.70195098,43.60286201
German_Bank_2010,HP01,HP01_256111241,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111241.JPG,[3],dropped,-66.70184519,43.60293139
German_Bank_2010,HP01,HP01_256111258,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP01/HP01_256111258.JPG,[3],test,-66.70165267,43.60305902
German_Bank_2010,HP02,HP02_257193053,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP02/HP02_257193053.JPG,[0],train,-66.54119812,43.61902855
German_Bank_2010,HP02,HP02_257193109,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP02/HP02_257193109.JPG,[0],train,-66.54099344,43.61906826
German_Bank_2010,HP02,HP02_257193125,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP02/HP02_257193125.JPG,[0],train,-66.54079762,43.61910729
German_Bank_2010,HP02,HP02_257193141,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP02/HP02_257193141.JPG,[0],train,-66.5405967,43.61914936
German_Bank_2010,HP02,HP02_257193156,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/HP02/HP02_257193156.JPG,[0],train,-66.54043131,43.61918686
